Q,E
-35.0,5.306105694749119
-34.97165721907302,5.301987740581921
-34.94331443814605,5.297871212289326
-34.91497165721907,5.293756110052489
-34.8866288762921,5.289642434052565
-34.85828609536512,5.285530184470699
-34.82994331443815,5.281419361488063
-34.80160053351117,5.277309965285801
-34.77325775258419,5.273201996045057
-34.74491497165722,5.269095453946998
-34.71657219073025,5.2649903391727815
-34.68822940980327,5.260886651903552
-34.65988662887629,5.256784392320463
-34.63154384794932,5.252683560604668
-34.60320106702234,5.24858415693733
-34.57485828609536,5.244486181499597
-34.54651550516839,5.240389634472619
-34.51817272424142,5.236294516037551
-34.48982994331444,5.232200826375556
-34.46148716238746,5.228108565667781
-34.43314438146049,5.224017734095379
-34.40480160053351,5.219928331839509
-34.37645881960653,5.21584035908132
-34.34811603867956,5.211753816001968
-34.31977325775259,5.207668702782614
-34.29143047682561,5.203585019604403
-34.26308769589863,5.199502766648484
-34.23474491497166,5.195421944096023
-34.20640213404468,5.191342552128166
-34.1780593531177,5.187264590926065
-34.149716572190734,5.1831880606708784
-34.12137379126376,5.179112961543767
-34.09303101033678,5.175039293725876
-34.0646882294098,5.17096705739836
-34.03634544848283,5.166896252742376
-34.00800266755585,5.162826879939074
-33.97965988662887,5.158758939169611
-33.951317105701904,5.154692430615145
-33.92297432477493,5.1506273544568195
-33.89463154384795,5.146563710875802
-33.86628876292097,5.142501500053229
-33.837945981994,5.138440722170265
-33.80960320106702,5.134381377408063
-33.78126042014004,5.130323465947783
-33.752917639213074,5.126266987970564
-33.7245748582861,5.12221194365757
-33.69623207735912,5.118158333189953
-33.66788929643214,5.114106156748876
-33.63954651550517,5.11005541451548
-33.61120373457819,5.106006106670923
-33.58286095365122,5.101958233396367
-33.554518172724244,5.097911794872948
-33.52617539179727,5.093866791281835
-33.49783261087029,5.0898232228041795
-33.46948982994331,5.085781089621129
-33.44114704901634,5.081740391913842
-33.41280426808936,5.077701129863472
-33.38446148716239,5.073663303651168
-33.356118706235414,5.069626913458096
-33.32777592530844,5.065591959465404
-33.29943314438146,5.061558441854245
-33.27109036345448,5.057526360805769
-33.24274758252751,5.0534957165011365
-33.21440480160053,5.049466509121495
-33.18606202067356,5.045438738848014
-33.157719239746584,5.0414124058618235
-33.12937645881961,5.037387510344093
-33.10103367789263,5.033364052475978
-33.07269089696565,5.0293420324386195
-33.04434811603868,5.025321450413186
-33.01600533511171,5.021302306580815
-32.98766255418473,5.0172846011226735
-32.959319773257754,5.0132683342199185
-32.93097699233078,5.009253506053697
-32.9026342114038,5.005240116805163
-32.87429143047682,5.001228166655471
-32.84594864954985,4.997217655785772
-32.81760586862288,4.993208584377235
-32.7892630876959,4.9892009526109895
-32.760920306768924,4.9851947606682065
-32.73257752584195,4.981190008730036
-32.70423474491497,4.97718669697763
-32.67589196398799,4.973184825592144
-32.647549183061024,4.969184394754728
-32.61920640213405,4.9651854046465465
-32.59086362120707,4.961187855448741
-32.562520840280094,4.957191747342476
-32.53417805935312,4.953197080508895
-32.50583527842614,4.949203855129161
-32.47749249749916,4.945212071384425
-32.449149716572194,4.941221729455845
-32.42080693564522,4.937232829524564
-32.39246415471824,4.933245371771748
-32.364121373791264,4.9292593563785365
-32.33577859286429,4.925274783526098
-32.30743581193731,4.92129165339558
-32.27909303101033,4.917309966168135
-32.250750250083364,4.913329722024919
-32.22240746915639,4.909350921147087
-32.19406468822941,4.905373563715791
-32.165721907302434,4.901397649912189
-32.13737912637546,4.897423179917433
-32.10903634544848,4.893450153912672
-32.08069356452151,4.889478572079074
-32.052350783594534,4.885508434597773
-32.02400800266756,4.8815397416499335
-31.99566522174058,4.877572493416706
-31.967322440813604,4.873606690079252
-31.93897965988663,4.869642331818717
-31.910636878959654,4.865679418816261
-31.882294098032677,4.861717951253037
-31.8539513171057,4.857757929310197
-31.825608536178727,4.8537993531688866
-31.79726575525175,4.849842223010277
-31.768922974324774,4.845886539015512
-31.7405801933978,4.841932301365747
-31.712237412470824,4.837979510242134
-31.683894631543847,4.834028165825838
-31.655551850616874,4.8300782682979975
-31.627209069689897,4.826129817839777
-31.59886628876292,4.822182814632319
-31.570523507835944,4.818237258856789
-31.54218072690897,4.814293150694337
-31.513837945981994,4.810350490326114
-31.485495165055017,4.806409277933279
-31.457152384128044,4.802469513696981
-31.428809603201067,4.79853119779838
-31.40046682227409,4.794594330418624
-31.372124041347117,4.790658911738876
-31.34378126042014,4.7867249419402755
-31.315438479493164,4.782792421203993
-31.287095698566187,4.778861349711164
-31.258752917639214,4.774931727642962
-31.230410136712237,4.7710035551805285
-31.20206735578526,4.767076832505017
