T,C
100.0,1.0445078480129667e-9
104.04040404040404,1.0979791019252599e-9
108.08080808080808,1.1493867449392032e-9
112.12121212121212,1.198721030449258e-9
116.16161616161617,1.2459924386374148e-9
120.20202020202021,1.291227277316634e-9
124.24242424242425,1.334464048737177e-9
128.2828282828283,1.3757504673718683e-9
132.32323232323233,1.4151410259341368e-9
136.36363636363637,1.4526950198376481e-9
140.40404040404042,1.4884749528549515e-9
144.44444444444446,1.5225452582835653e-9
148.4848484848485,1.554971280229808e-9
152.5252525252525,1.5858184686096192e-9
156.56565656565655,1.6151517491914155e-9
160.6060606060606,1.6430350365734545e-9
164.64646464646464,1.6695308635243323e-9
168.68686868686868,1.6947001047544902e-9
172.72727272727272,1.7186017770546668e-9
176.76767676767676,1.7412929009518024e-9
180.8080808080808,1.7628284116960732e-9
184.84848484848484,1.7832611095941392e-9
188.88888888888889,1.8026416415211983e-9
192.92929292929293,1.8210185069415032e-9
196.96969696969697,1.8384380829995457e-9
201.010101010101,1.854944664257863e-9
205.05050505050505,1.8705805134900983e-9
209.0909090909091,1.88538592062158e-9
213.13131313131314,1.8993992674706084e-9
217.17171717171718,1.912657096403229e-9
221.21212121212122,1.925194181390848e-9
225.25252525252526,1.937043600267979e-9
229.2929292929293,1.948236807239321e-9
233.33333333333334,1.9588037048906775e-9
237.37373737373738,1.96877271512579e-9
241.41414141414143,1.9781708485877135e-9
245.45454545454547,1.9870237722332943e-9
249.4949494949495,1.995355874819912e-9
253.53535353535352,2.0031903301348884e-9
257.57575757575756,2.0105491578570197e-9
261.6161616161616,2.0174532819855648e-9
265.65656565656565,2.0239225868096156e-9
269.6969696969697,2.029975970419425e-9
273.73737373737373,2.0356313957847848e-9
277.77777777777777,2.040905939442721e-9
281.8181818181818,2.0458158378506203e-9
285.85858585858585,2.050376531470749e-9
289.8989898989899,2.0546027066593763e-9
293.93939393939394,2.0585083354388403e-9
297.979797979798,2.0621067132340082e-9
302.020202020202,2.0654104946562225e-9
306.06060606060606,2.0684317274186622e-9
310.1010101010101,2.0711818844664068e-9
314.14141414141415,2.0736718944036857e-9
318.1818181818182,2.0759121702990867e-9
322.22222222222223,2.0779126369475134e-9
326.26262626262627,2.0796827566653098e-9
330.3030303030303,2.0812315536924994e-9
334.34343434343435,2.0825676372732976e-9
338.3838383838384,2.0836992234833452e-9
342.42424242424244,2.0846341558691907e-9
346.4646464646465,2.085379924962737e-9
350.5050505050505,2.085943686730517e-9
354.54545454545456,2.0863322800148595e-9
358.5858585858586,2.086552243021325e-9
362.62626262626264,2.086609828903987e-9
366.6666666666667,2.0865110204976973e-9
370.7070707070707,2.086261544243911e-9
374.74747474747477,2.08586688335421e-9
378.7878787878788,2.085332290253406e-9
382.82828282828285,2.0846627983418645e-9
386.8686868686869,2.0838632331146183e-9
390.90909090909093,2.0829382226727353e-9
394.949494949495,2.0818922076605767e-9
398.989898989899,2.080729450660714e-9
403.030303030303,2.079454045076508e-9
407.07070707070704,2.078069923530785e-9
411.1111111111111,2.076580865807354e-9
415.1515151515151,2.074990506360779e-9
419.19191919191917,2.0733023414182933e-9
423.2323232323232,2.07151973569647e-9
427.27272727272725,2.0696459287540042e-9
431.3131313131313,2.0676840410007527e-9
435.35353535353534,2.065637079382093e-9
439.3939393939394,2.063507942756555e-9
443.4343434343434,2.0612994269836975e-9
447.47474747474746,2.05901422973828e-9
451.5151515151515,2.0566549550658628e-9
455.55555555555554,2.0542241176940687e-9
459.5959595959596,2.05172414711312e-9
463.6363636363636,2.049157391438241e-9
467.67676767676767,2.0465261210661325e-9
471.7171717171717,2.043832532136704e-9
475.75757575757575,2.041078749810973e-9
479.7979797979798,2.038266831375142e-9
483.83838383838383,2.035398769180493e-9
487.8787878787879,2.0324764934281395e-9
491.9191919191919,2.0295018748071485e-9
495.95959595959596,2.0264767269942e-9
500.0,2.0234028090222727e-9
