Q,E
-35.0,52.19490196598365
-34.97165721907302,52.07647797078417
-34.94331443814605,51.958268750923224
-34.91497165721907,51.84027402606467
-34.8866288762921,51.72249351609931
-34.85828609536512,51.604926941144704
-34.82994331443815,51.48757402154519
-34.80160053351117,51.37043447787182
-34.77325775258419,51.253508030922134
-34.74491497165722,51.13679440172028
-34.71657219073025,51.02029331151678
-34.68822940980327,50.90400448178844
-34.65988662887629,50.787927634238365
-34.63154384794932,50.672062490795874
-34.60320106702234,50.55640877361632
-34.57485828609536,50.44096620508109
-34.54651550516839,50.32573450779747
-34.51817272424142,50.21071340459866
-34.48982994331444,50.09590261854351
-34.46148716238746,49.98130187291665
-34.43314438146049,49.86691089122824
-34.40480160053351,49.75272939721403
-34.37645881960653,49.63875711483514
-34.34811603867956,49.52499376827808
-34.31977325775259,49.4114390819546
-34.29143047682561,49.29809278050163
-34.26308769589863,49.18495458878126
-34.23474491497166,49.07202423188056
-34.20640213404468,48.95930143511156
-34.1780593531177,48.84678592401114
-34.149716572190734,48.73447742434095
-34.12137379126376,48.622375662087364
-34.09303101033678,48.510480363461305
-34.0646882294098,48.39879125489833
-34.03634544848283,48.28730806305833
-34.00800266755585,48.17603051482567
-33.97965988662887,48.064958337308916
-33.951317105701904,47.95409125784092
-33.92297432477493,47.843429003978514
-33.89463154384795,47.732971303502744
-33.86628876292097,47.622717884418456
-33.837945981994,47.51266847495451
-33.80960320106702,47.40282280356343
-33.78126042014004,47.293180598921566
-33.752917639213074,47.18374158992884
-33.7245748582861,47.07450550570865
-33.69623207735912,46.96547207560797
-33.66788929643214,46.856641029197114
-33.63954651550517,46.7480120962697
-33.61120373457819,46.639585006842545
-33.58286095365122,46.53135949115565
-33.554518172724244,46.423335279671996
-33.52617539179727,46.31551210307757
-33.49783261087029,46.20788969228129
-33.46948982994331,46.1004677784148
-33.44114704901634,45.99324609283256
-33.41280426808936,45.88622436711159
-33.38446148716239,45.77940233305152
-33.356118706235414,45.67277972267444
-33.32777592530844,45.566356268224844
-33.29943314438146,45.46013170216955
-33.27109036345448,45.35410575719755
-33.24274758252751,45.24827816622008
-33.21440480160053,45.142648662370384
-33.18606202067356,45.03721697900376
-33.157719239746584,44.931982849697235
-33.12937645881961,44.82694600824988
-33.10103367789263,44.72210618868232
-33.07269089696565,44.617463125236995
-33.04434811603868,44.51301655237784
-33.01600533511171,44.40876620479032
-32.98766255418473,44.30471181738116
-32.959319773257754,44.20085312527865
-32.93097699233078,44.09718986383216
-32.9026342114038,43.993721768612296
-32.87429143047682,43.89044857541075
