Q,E
-35.0,7.066237211402046
-34.97165721907302,7.055839755017836
-34.94331443814605,7.045439710739821
-34.91497165721907,7.035037130254564
-34.8866288762921,7.024632065140416
-34.85828609536512,7.014224566867575
-34.82994331443815,7.003814686798178
-34.80160053351117,6.993402476186386
-34.77325775258419,6.982987986178469
-34.74491497165722,6.972571267812886
-34.71657219073025,6.962152372020388
-34.68822940980327,6.951731349624066
-34.65988662887629,6.941308251339475
-34.63154384794932,6.9308831277746945
-34.60320106702234,6.92045602943042
-34.57485828609536,6.910027006700045
-34.54651550516839,6.899596109869753
-34.51817272424142,6.889163389118594
-34.48982994331444,6.8787288945185745
-34.46148716238746,6.868292676034732
-34.43314438146049,6.8578547835252355
-34.40480160053351,6.847415266741458
-34.37645881960653,6.836974175328063
-34.34811603867956,6.8265315588230955
-34.31977325775259,6.816087466658064
-34.29143047682561,6.805641948158005
-34.26308769589863,6.795195052541611
-34.23474491497166,6.784746828921268
-34.20640213404468,6.774297326303171
-34.1780593531177,6.763846593587403
-34.149716572190734,6.753394679568007
-34.12137379126376,6.742941632933087
-34.09303101033678,6.732487502264879
-34.0646882294098,6.722032336039839
-34.03634544848283,6.711576182628734
-34.00800266755585,6.701119090296731
-33.97965988662887,6.6906611072034545
-33.951317105701904,6.680202281403102
-33.92297432477493,6.669742660844513
-33.89463154384795,6.659282293371256
-33.86628876292097,6.648821226721719
-33.837945981994,6.638359508529177
-33.80960320106702,6.627897186321896
-33.78126042014004,6.61743430752321
-33.752917639213074,6.606970919451617
-33.7245748582861,6.596507069320819
-33.69623207735912,6.586042804239868
-33.66788929643214,6.57557817121322
-33.63954651550517,6.565113217140805
-33.61120373457819,6.554647988818147
-33.58286095365122,6.544182532936416
-33.554518172724244,6.533716896082535
-33.52617539179727,6.5232511247392475
-33.49783261087029,6.512785265285219
-33.46948982994331,6.502319363995106
-33.44114704901634,6.491853467039656
-33.41280426808936,6.48138762048577
-33.38446148716239,6.470921870296622
-33.356118706235414,6.460456262331693
-33.32777592530844,6.449990842346908
-33.29943314438146,6.43952565599469
-33.27109036345448,6.429060748824045
-33.24274758252751,6.418596166280669
-33.21440480160053,6.408131953707005
-33.18606202067356,6.397668156342341
-33.157719239746584,6.387204819322893
-33.12937645881961,6.376741987681894
-33.10103367789263,6.3662797063496654
-33.07269089696565,6.355818020153717
-33.04434811603868,6.345356973818825
-33.01600533511171,6.334896611967122
-32.98766255418473,6.324436979118157
-32.959319773257754,6.313978119689014
