Q,E
-14.76,2.5550000000000637
-7.38,1.73700000000008
0.0,1.490000000000009
7.38,1.6159999999999854
14.76,1.8500000000001364
22.04,1.90300000000002
29.46,1.8070000000000164
36.77,1.6720000000000255
44.16,2.1059999999999945
51.28,3.6929999999999836
58.91,7.365000000000009
