T,C
100.0,3.319760866171836e-12
104.04040404040404,4.011401869522325e-12
108.08080808080808,4.791851933359519e-12
112.12121212121212,5.663993257709744e-12
116.16161616161617,6.629976754798328e-12
120.20202020202021,7.691235550670351e-12
124.24242424242425,8.84851197156138e-12
128.2828282828283,1.0101895054996148e-11
132.32323232323233,1.1450865842607875e-11
136.36363636363637,1.2894348003077431e-11
140.40404040404042,1.4430761661635763e-11
144.44444444444446,1.6058078649204557e-11
148.4848484848485,1.777387770987456e-11
152.5252525252525,1.957539850731119e-11
156.56565656565655,2.145959354148596e-11
160.6060606060606,2.3423177323490773e-11
164.64646464646464,2.5462672357622358e-11
168.68686868686868,2.7574451647776045e-11
172.72727272727272,2.975477758208346e-11
176.76767676767676,3.1999837158855535e-11
180.8080808080808,3.4305773601776815e-11
184.84848484848484,3.666871447637689e-11
188.88888888888889,3.90847964664362e-11
192.92929292929293,4.155018700116687e-11
196.96969696969697,4.4061102944469095e-11
201.010101010101,4.661382656867e-11
205.05050505050505,4.920471903891087e-11
209.0909090909091,5.18302316325111e-11
213.13131313131314,5.44869149115827e-11
217.17171717171718,5.7171426058104285e-11
221.21212121212122,5.988053456951568e-11
225.25252525252526,6.261112650041972e-11
229.2929292929293,6.536020742277623e-11
233.33333333333334,6.812490426350697e-11
237.37373737373738,7.090246616502747e-11
241.41414141414143,7.36902645011777e-11
245.45454545454547,7.64857921684692e-11
249.4949494949495,7.928666226069077e-11
253.53535353535352,8.20906062237402e-11
257.57575757575756,8.489547157715044e-11
261.6161616161616,8.769921927917404e-11
265.65656565656565,9.049992080345551e-11
269.6969696969697,9.329575498725668e-11
273.73737373737373,9.608500470385473e-11
277.77777777777777,9.886605340511312e-11
281.8181818181818,1.0163738157420604e-10
285.85858585858585,1.043975631231284e-10
289.8989898989899,1.0714526176478621e-10
293.93939393939394,1.098792273851654e-10
297.979797979798,1.1259829243726656e-10
302.020202020202,1.153013683750786e-10
306.06060606060606,1.1798744214288109e-10
310.1010101010101,1.2065557273251688e-10
314.14141414141415,1.2330488781893981e-10
318.1818181818182,1.2593458048232026e-10
322.22222222222223,1.285439060231968e-10
326.26262626262627,1.311321788756216e-10
330.3030303030303,1.336987696218959e-10
334.34343434343435,1.362431021113414e-10
338.3838383838384,1.3876465068453495e-10
342.42424242424244,1.412629375036041e-10
346.4646464646465,1.4373752998843242e-10
350.5050505050505,1.4618803835801936e-10
354.54545454545456,1.4861411327572177e-10
358.5858585858586,1.5101544359667133e-10
362.62626262626264,1.5339175421531668e-10
366.6666666666667,1.557428040107439e-10
370.7070707070707,1.5806838388720612e-10
374.74747474747477,1.6036831490711845e-10
378.7878787878788,1.6264244651363e-10
382.82828282828285,1.6489065483980682e-10
386.8686868686869,1.6711284110137164e-10
390.90909090909093,1.6930893006993993e-10
394.949494949495,1.714788686236542e-10
398.989898989899,1.7362262437214893e-10
403.030303030303,1.7574018435278486e-10
407.07070707070704,1.7783155379515087e-10
411.1111111111111,1.7989675495087045e-10
415.1515151515151,1.819358259858146e-10
419.19191919191917,1.8394881993189691e-10
423.2323232323232,1.8593580369569823e-10
427.27272727272725,1.8789685712125254e-10
431.3131313131313,1.8983207210440075e-10
435.35353535353534,1.9174155175622483e-10
439.3939393939394,1.9362540961314004e-10
443.4343434343434,1.9548376889133057e-10
447.47474747474746,1.9731676178329184e-10
451.5151515151515,1.9912452879434078e-10
455.55555555555554,2.0090721811703615e-10
459.5959595959596,2.0266498504154104e-10
463.6363636363636,2.0439799140004605e-10
467.67676767676767,2.061064050434546e-10
471.7171717171717,2.0779039934861162e-10
475.75757575757575,2.0945015275443716e-10
479.7979797979798,2.110858483254079e-10
483.83838383838383,2.1269767334089376e-10
487.8787878787879,2.1428581890894056e-10
491.9191919191919,2.1585047960314782e-10
495.95959595959596,2.1739185312137383e-10
500.0,2.189101399650384e-10
