Q,E
-35.0,8.556237211402125
-34.97165721907302,8.54583975501791
-34.94331443814605,8.535439710739896
-34.91497165721907,8.525037130254635
-34.8866288762921,8.514632065140496
-34.85828609536512,8.504224566867647
-34.82994331443815,8.49381468679825
-34.80160053351117,8.48340247618646
-34.77325775258419,8.472987986178543
-34.74491497165722,8.462571267812962
-34.71657219073025,8.452152372020462
-34.68822940980327,8.441731349624137
-34.65988662887629,8.43130825133955
-34.63154384794932,8.420883127774765
-34.60320106702234,8.410456029430495
-34.57485828609536,8.400027006700117
-34.54651550516839,8.389596109869823
-34.51817272424142,8.379163389118666
-34.48982994331444,8.368728894518643
-34.46148716238746,8.3582926760348
-34.43314438146049,8.347854783525305
-34.40480160053351,8.33741526674153
-34.37645881960653,8.326974175328132
-34.34811603867956,8.316531558823161
-34.31977325775259,8.30608746665813
-34.29143047682561,8.295641948158078
-34.26308769589863,8.285195052541683
-34.23474491497166,8.27474682892134
-34.20640213404468,8.264297326303238
-34.1780593531177,8.253846593587472
-34.149716572190734,8.243394679568077
-34.12137379126376,8.232941632933157
-34.09303101033678,8.222487502264949
-34.0646882294098,8.212032336039908
-34.03634544848283,8.201576182628802
-34.00800266755585,8.191119090296798
-33.97965988662887,8.18066110720352
-33.951317105701904,8.170202281403169
-33.92297432477493,8.159742660844582
-33.89463154384795,8.149282293371323
-33.86628876292097,8.138821226721777
-33.837945981994,8.128359508529241
-33.80960320106702,8.117897186321963
-33.78126042014004,8.107434307523276
-33.752917639213074,8.09697091945168
-33.7245748582861,8.086507069320879
-33.69623207735912,8.076042804239929
-33.66788929643214,8.06557817121328
-33.63954651550517,8.055113217140867
-33.61120373457819,8.044647988818207
-33.58286095365122,8.034182532936482
-33.554518172724244,8.023716896082602
-33.52617539179727,8.013251124739313
-33.49783261087029,8.002785265285285
-33.46948982994331,7.992319363995171
-33.44114704901634,7.981853467039716
-33.41280426808936,7.9713876204858325
-33.38446148716239,7.960921870296687
-33.356118706235414,7.950456262331756
-33.32777592530844,7.9399908423469725
-33.29943314438146,7.929525655994756
-33.27109036345448,7.919060748824109
-33.24274758252751,7.908596166280735
-33.21440480160053,7.898131953707065
-33.18606202067356,7.887668156342405
-33.157719239746584,7.877204819322954
-33.12937645881961,7.866741987681953
-33.10103367789263,7.856279706349727
-33.07269089696565,7.845818020153776
-33.04434811603868,7.835356973818885
-33.01600533511171,7.824896611967181
-32.98766255418473,7.814436979118216
-32.959319773257754,7.8039781196890745
-32.93097699233078,7.79352007799444
-32.9026342114038,7.783062898246693
-32.87429143047682,7.772606624555972
-32.84594864954985,7.762151300930289
-32.81760586862288,7.7516969712756
-32.7892630876959,7.741243679395864
-32.760920306768924,7.730791468993181
-32.73257752584195,7.720340383667823
-32.70423474491497,7.7098904669183685
-32.67589196398799,7.699441762141742
-32.647549183061024,7.688994312633326
-32.61920640213405,7.678548161587024
-32.59086362120707,7.66810335209538
-32.562520840280094,7.657659927149632
-32.53417805935312,7.647217929639806
-32.50583527842614,7.6367774023547925
-32.47749249749916,7.626338387982454
-32.449149716572194,7.615900929109691
-32.42080693564522,7.605465068222526
-32.39246415471824,7.5950308477061865
-32.364121373791264,7.58459830984521
-32.33577859286429,7.574167496823507
-32.30743581193731,7.563738450724452
-32.27909303101033,7.553311213530967
-32.250750250083364,7.542885827125612
-32.22240746915639,7.532462333290668
-32.19406468822941,7.52204077370821
-32.165721907302434,7.511621189960203
-32.13737912637546,7.501203623528589
-32.10903634544848,7.490788115795372
-32.08069356452151,7.480374708042675
-32.052350783594534,7.469963441452867
-32.02400800266756,7.459554357108616
-31.99566522174058,7.449147495992998
-31.967322440813604,7.438742898989551
-31.93897965988663,7.428340606882392
-31.910636878959654,7.417940660356272
-31.882294098032677,7.40754309999669
-31.8539513171057,7.397147966289942
-31.825608536178727,7.386755299623255
-31.79726575525175,7.3763651402848245
-31.768922974324774,7.3659775284639135
-31.7405801933978,7.355592504250949
-31.712237412470824,7.345210107637603
-31.683894631543847,7.334830378516862
-31.655551850616874,7.324453356683121
-31.627209069689897,7.314079081832276
-31.59886628876292,7.303707593561799
-31.570523507835944,7.293338931370829
-31.54218072690897,7.282973134660246
-31.513837945981994,7.27261024273276
-31.485495165055017,7.2622502947930165
-31.457152384128044,7.251893329947619
-31.428809603201067,7.2415393872053215
-31.40046682227409,7.231188505476997
-31.372124041347117,7.220840723575784
-31.34378126042014,7.210496080217182
-31.315438479493164,7.2001546140190875
-31.287095698566187,7.189816363501918
-31.258752917639214,7.1794813670886874
-31.230410136712237,7.169149663105075
-31.20206735578526,7.158821289779539
-31.173724574858287,7.148496285243378
-31.14538179393131,7.138174687530812
-31.117039013004334,7.127856534579081
-31.08869623207736,7.11754186422853
-31.060353451150384,7.1072307142226965
-31.032010670223407,7.096923122208388
-31.003667889296434,7.086619125735734
-30.975325108369457,7.076318762258344
-30.94698232744248,7.066022069133327
-30.918639546515504,7.055729083621406
-30.89029676558853,7.045439842887001
-30.861953984661554,7.035154383998299
-30.833611203734577,7.024872743927352
-30.805268422807604,7.014594959550177
-30.776925641880627,7.004321067646779
-30.74858286095365,6.994051104901312
-30.720240080026677,6.983785107902128
-30.6918972990997,6.9735231131418525
-30.663554518172724,6.963265157017483
-30.635211737245747,6.953011275830477
-30.606868956318774,6.942761505786821
-30.578526175391797,6.93251588299713
-30.55018339446482,6.922274443476714
-30.521840613537847,6.912037223145699
-30.49349783261087,6.901804257829056
-30.465155051683894,6.891575583256741
-30.43681227075692,6.88135123506375
-30.408469489829944,6.871131248790201
-30.380126708902967,6.860915659881431
-30.35178392797599,6.850704503688075
-30.323441147049017,6.84049781546616
-30.29509836612204,6.830295630377162
-30.266755585195064,6.820097983488134
-30.23841280426809,6.809904909771741
-30.210070023341114,6.799716444106391
-30.181727242414137,6.789532621276293
-30.153384461487164,6.7793534759715435
-30.125041680560187,6.7691790427882
-30.09669889963321,6.7590093562284
-30.068356118706234,6.7488444507004255
-30.04001333777926,6.738684360518782
-30.011670556852284,6.728529119904278
-29.983327775925307,6.718378762984138
-29.954984994998334,6.7082333237920535
-29.926642214071357,6.698092836268301
-29.89829943314438,6.687957334259795
-29.869956652217407,6.677826851520196
-29.84161387129043,6.667701421709969
-29.813271090363454,6.657581078396506
-29.784928309436477,6.647465855054169
-29.756585528509504,6.637355785064412
-29.728242747582527,6.627250901715841
-29.69989996665555,6.6171512382042925
-29.671557185728577,6.607056827632957
-29.6432144048016,6.59696770301241
-29.614871623874624,6.586883897260748
-29.58652884294765,6.576805443203642
-29.558186062020674,6.566732373574418
-29.529843281093697,6.5566647210141715
-29.50150050016672,6.546602518071822
-29.473157719239747,6.536545797204209
-29.44481493831277,6.526494590776185
-29.416472157385794,6.516448931060682
-29.38812937645882,6.506408850238814
-29.359786595531844,6.496374380399943
-29.331443814604867,6.486345553541782
-29.303101033677894,6.47632240157048
-29.274758252750917,6.466304956300672
-29.24641547182394,6.456293249455606
-29.218072690896964,6.446287312667221
-29.18972990996999,6.4362871774761965
-29.161387129043014,6.426292875332098
-29.133044348116037,6.416304437593384
-29.104701567189064,6.406321895527563
-29.076358786262087,6.39634528031124
-29.04801600533511,6.386374623030195
-29.019673224408137,6.376409954679503
-28.99133044348116,6.366451306163579
-28.962987662554184,6.356498708296286
-28.93464488162721,6.34655219180102
-28.906302100700234,6.33661178731077
-28.877959319773257,6.326677525368243
-28.84961653884628,6.316749436425915
-28.821273757919307,6.306827550846122
-28.79293097699233,6.296911898901161
-28.764588196065354,6.287002510773361
-28.73624541513838,6.277099416555158
-28.707902634211404,6.267202646249207
-28.679559853284427,6.25731222976844
-28.651217072357454,6.247428196936166
-28.622874291430477,6.237550577486145
-28.5945315105035,6.227679401062683
-28.566188729576524,6.217814697220709
-28.53784594864955,6.207956495425874
-28.509503167722574,6.198104825054609
-28.481160386795597,6.188259715394226
-28.452817605868624,6.1784211956430015
-28.424474824941647,6.168589294910278
-28.39613204401467,6.1587640422165135
-28.367789263087698,6.1489454664933785
-28.33944648216072,6.139133596583866
-28.311103701233744,6.129328461242343
-28.282760920306767,6.119530089134643
-28.254418139379794,6.109738508838175
-28.226075358452817,6.09995374884196
-28.19773257752584,6.090175837546772
-28.169389796598868,6.080404803265184
-28.14104701567189,6.070640674221648
-28.112704234744914,6.06088347855262
-28.08436145381794,6.051133244306607
-28.056018672890964,6.041389999444257
-28.027675891963987,6.031653771838472
-27.99933311103701,6.021924589274447
-27.970990330110038,6.012202479449787
-27.94264754918306,6.002487469974592
-27.914304768256084,5.992779588371523
-27.88596198732911,5.9830788620759074
-27.857619206402134,5.973385318435783
-27.829276425475157,5.963698984712048
-27.800933644548184,5.954019888078496
-27.772590863621208,5.9443480556218935
-27.74424808269423,5.9346835143421215
-27.715905301767254,5.925026291152197
-27.68756252084028,5.91537641287839
-27.659219739913304,5.905733906260319
-27.630876958986327,5.896098797950991
-27.602534178059354,5.8864711145169295
-27.574191397132378,5.876850882438248
-27.5458486162054,5.867238128108713
-27.517505835278428,5.857632877835865
